TOKEN | Type: FLOAT           Lexeme: float           Line: 1    
TOKEN | Type: ID              Lexeme: fun             Line: 1    
TOKEN | Type: OPAREN          Lexeme: (               Line: 1    
TOKEN | Type: INT             Lexeme: int             Line: 1    
TOKEN | Type: ID              Lexeme: x               Line: 1    
TOKEN | Type: COMMA           Lexeme: ,               Line: 1    
TOKEN | Type: INT             Lexeme: int             Line: 1    
TOKEN | Type: ID              Lexeme: y               Line: 1    
TOKEN | Type: CPAREN          Lexeme: )               Line: 1    
TOKEN | Type: OBRACE          Lexeme: {               Line: 1    
TOKEN | Type: CBRACE          Lexeme: }               Line: 1    
TOKEN | Type: SEMICOLON       Lexeme: ;               Line: 1    
TOKEN | Type: EOF             Lexeme: $               Line: 1    
TOKEN | Type: EOF             Lexeme: $               Line: 1    
